opdrachtomschrijving,onderwerp;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Data Science;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Event Processing;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: SQL.,App Development;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Blockchain;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: Kubernetes.,App Development;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Workflow Automation;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Docker.,Workflow Automation;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: TensorFlow.,AR/VR Development;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: React.,Workflow Automation;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Docker.,Digital Twin;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: Docker.,Event Processing;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Docker.,AR/VR Development;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: React.,Workflow Automation;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: React.,Data Science;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Machine Learning;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,App Development;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: React.,Digital Twin;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Python.,Workflow Automation;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Python.,Computer Vision;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Blockchain;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Python.,Machine Learning;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: React.,Blockchain;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Data Science;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: React.,App Development;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Natural Language Processing;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: React.,App Development;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Workflow Automation;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: onderwijsinstellingen. Technologieën: SQL.,Event Processing;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: React.,App Development;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Kubernetes.,Computer Vision;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: React.,Data Science;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Event Processing;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,Event Processing;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Python.,AR/VR Development;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,App Development;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: Docker.,Event Processing;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: React.,Machine Learning;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Computer Vision;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: React.,Computer Vision;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: React.,Workflow Automation;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: React.,Event Processing;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Workflow Automation;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Docker.,Computer Vision;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: overheidsinstanties. Technologieën: Docker.,Digital Twin;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Workflow Automation;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,Blockchain;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.,AR/VR Development;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Machine Learning;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Blockchain;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Kubernetes.,Data Science;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Natural Language Processing;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: SQL.,Machine Learning;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: React.,App Development;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: TensorFlow.,AR/VR Development;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Blockchain;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Docker.,Machine Learning;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Python.,Blockchain;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,AR/VR Development;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Workflow Automation;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Event Processing;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: React.,Computer Vision;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Blockchain;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: React.,AR/VR Development;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op schaalbaarheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Natural Language Processing;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Workflow Automation;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: React.,AR/VR Development;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Data Science;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: React.,Natural Language Processing;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Data Science;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op gebruiksvriendelijkheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Blockchain;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Workflow Automation;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Docker.,Digital Twin;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: Python.,Workflow Automation;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: consumentenmarkt. Technologieën: Docker.,AR/VR Development;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Natural Language Processing;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: bedrijven. Technologieën: TensorFlow.,Machine Learning;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Blockchain;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: zorgsector. Technologieën: TensorFlow.,Event Processing;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: TensorFlow.,Machine Learning;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Machine Learning;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: SQL.,Digital Twin;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op schaalbaarheid. Doelgroep: onderwijsinstellingen. Technologieën: Python.,Data Science;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Blockchain;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Digital Twin;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: TensorFlow.,Machine Learning;
Bouwen van een computer vision systeem voor objectdetectie in videostreams. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Blockchain;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,Blockchain;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Docker.,Data Science;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Docker.,Machine Learning;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: TensorFlow.,AR/VR Development;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op integratie met bestaande systemen. Doelgroep: bedrijven. Technologieën: Docker.,Machine Learning;
Creëren van handvatten voor het bouwen van een Digital Twin expertmodel met focus op simulatie en voorspelling. Extra focus op veiligheid. Doelgroep: overheidsinstanties. Technologieën: SQL.,Computer Vision;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op gebruiksvriendelijkheid. Doelgroep: consumentenmarkt. Technologieën: Kubernetes.,Blockchain;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Python.,Data Science;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Kubernetes.,Natural Language Processing;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Docker.,Data Science;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op gebruiksvriendelijkheid. Doelgroep: bedrijven. Technologieën: Kubernetes.,Event Processing;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Python.,Machine Learning;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,AR/VR Development;
Implementatie van een AR-bril toepassing voor handsfree interactie met workflowmanagement-systemen. Extra focus op integratie met bestaande systemen. Doelgroep: zorgsector. Technologieën: Python.,Event Processing;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Blockchain;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: SQL.,App Development;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op gebruiksvriendelijkheid. Doelgroep: zorgsector. Technologieën: Docker.,AR/VR Development;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: TensorFlow.,Blockchain;
Ontwikkeling van een Event Log App die data uit meerdere databronnen kan koppelen en visualiseren voor gebruikers. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: React.,Computer Vision;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op veiligheid. Doelgroep: onderwijsinstellingen. Technologieën: TensorFlow.,Computer Vision;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op integratie met bestaande systemen. Doelgroep: overheidsinstanties. Technologieën: Python.,App Development;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op gebruiksvriendelijkheid. Doelgroep: overheidsinstanties. Technologieën: Kubernetes.,Data Science;
Maken van een applicatie die via event processing real-time sensorinformatie kan verwerken en analyseren. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,Event Processing;
Uitwerken van een blockchain oplossing om datastromen veilig en transparant te registreren. Extra focus op real-time verwerking. Doelgroep: overheidsinstanties. Technologieën: Python.,Digital Twin;
Ontwikkeling van een NLP-module die automatisch klantvragen classificeert en doorstuurt naar de juiste afdeling. Extra focus op schaalbaarheid. Doelgroep: bedrijven. Technologieën: SQL.,Computer Vision;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: zorgsector. Technologieën: Python.,Blockchain;
Opzetten van een machine learning pipeline die automatisch data opschoont, traint en voorspellingen uitvoert. Extra focus op veiligheid. Doelgroep: bedrijven. Technologieën: React.,Computer Vision;
Creëren van een digitaal dashboard waarmee stakeholders inzicht krijgen in prestaties van AI-modellen. Extra focus op veiligheid. Doelgroep: consumentenmarkt. Technologieën: Python.,Machine Learning;
Bouwen van een platform dat data-invoer uit verschillende kanalen ondersteunt en de resultaten toont als een overzichtelijke rapportage. Extra focus op real-time verwerking. Doelgroep: onderwijsinstellingen. Technologieën: Kubernetes.,AR/VR Development;
