omschrijving,label
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Data Visualisation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Business Process Analytics
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. en evaluatie van de resultaten door middel van casestudies.,Business Process Analytics
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Design Science Research
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Business Change and Innovation
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met focus op scalability en performance.,Data Science
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Creative Digital Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Business Process Analytics
Verbetering van business change processen door middel van procesautomatisering. en evaluatie van de resultaten door middel van casestudies.,Data Science
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Process Analytics
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Design Science Research
Verbetering van business change processen door middel van procesautomatisering. inclusief aanbevelingen voor toekomstige verbeteringen.,Ethical Hacking
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Business Change and Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Creative Digital Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. met focus op scalability en performance.,Ethical Hacking
Verbetering van business change processen door middel van procesautomatisering. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Design Science Research
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met focus op scalability en performance.,Software Architecture
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Artificial Intelligence
Verbetering van business change processen door middel van procesautomatisering. met focus op scalability en performance.,Ethical Hacking
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met focus op scalability en performance.,Business Change and Innovation
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met focus op scalability en performance.,Data Visualisation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. gericht op innovatieve toepassingen binnen de industrie.,Artificial Intelligence
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Creative Digital Innovation
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. inclusief aanbevelingen voor toekomstige verbeteringen.,Data Visualisation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Business Change and Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Software Architecture
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Creative Digital Innovation
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Business Change and Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Analyse van bezoekersstromen door middel van data science technieken en machine learning. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Creative Digital Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Business Process Analytics
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. inclusief aanbevelingen voor toekomstige verbeteringen.,Software Architecture
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Software Architecture
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. waarbij nadruk ligt op praktische toepasbaarheid.,Artificial Intelligence
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Software Architecture
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Data Science
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Business Process Analytics
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met focus op scalability en performance.,Design Science Research
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. en evaluatie van de resultaten door middel van casestudies.,Artificial Intelligence
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. en evaluatie van de resultaten door middel van casestudies.,Software Architecture
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. en evaluatie van de resultaten door middel van casestudies.,Data Science
Verbetering van business change processen door middel van procesautomatisering. met een prototype als eindresultaat.,Data Science
Opzetten van een framework voor Software Architecture bij microservices. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Change and Innovation
Verbetering van business change processen door middel van procesautomatisering. met een prototype als eindresultaat.,Design Science Research
Verbetering van business change processen door middel van procesautomatisering. gericht op innovatieve toepassingen binnen de industrie.,Creative Digital Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Change and Innovation
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. waarbij nadruk ligt op praktische toepasbaarheid.,Business Change and Innovation
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. gericht op innovatieve toepassingen binnen de industrie.,Design Science Research
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met een prototype als eindresultaat.,Creative Digital Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. waarbij nadruk ligt op praktische toepasbaarheid.,Creative Digital Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Process Analytics
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. waarbij nadruk ligt op praktische toepasbaarheid.,Software Architecture
Verbetering van business change processen door middel van procesautomatisering. met een prototype als eindresultaat.,Data Visualisation
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. waarbij nadruk ligt op praktische toepasbaarheid.,Artificial Intelligence
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. en evaluatie van de resultaten door middel van casestudies.,Design Science Research
Opzetten van een framework voor Software Architecture bij microservices. waarbij nadruk ligt op praktische toepasbaarheid.,Data Science
Opzetten van een framework voor Software Architecture bij microservices. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Creative Digital Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. en evaluatie van de resultaten door middel van casestudies.,Data Science
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Data Visualisation
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. met een prototype als eindresultaat.,Ethical Hacking
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Design Science Research
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Ethical Hacking
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. waarbij nadruk ligt op praktische toepasbaarheid.,Data Science
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Data Science
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met een prototype als eindresultaat.,Artificial Intelligence
Verbetering van business change processen door middel van procesautomatisering. met focus op scalability en performance.,Data Science
Verbetering van business change processen door middel van procesautomatisering. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met een prototype als eindresultaat.,Business Change and Innovation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met focus op scalability en performance.,Software Architecture
Verbetering van business change processen door middel van procesautomatisering. met een prototype als eindresultaat.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Business Change and Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Design Science Research
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Design Science Research
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. en evaluatie van de resultaten door middel van casestudies.,Design Science Research
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Data Visualisation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Creative Digital Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. gericht op innovatieve toepassingen binnen de industrie.,Data Science
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met een prototype als eindresultaat.,Ethical Hacking
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Software Architecture
Analyse van bezoekersstromen door middel van data science technieken en machine learning. gericht op innovatieve toepassingen binnen de industrie.,Creative Digital Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. gericht op innovatieve toepassingen binnen de industrie.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Data Science
Verbetering van business change processen door middel van procesautomatisering. en evaluatie van de resultaten door middel van casestudies.,Ethical Hacking
Opzetten van een framework voor Software Architecture bij microservices. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met een prototype als eindresultaat.,Artificial Intelligence
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. met een prototype als eindresultaat.,Business Process Analytics
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. waarbij nadruk ligt op praktische toepasbaarheid.,Software Architecture
Verbetering van business change processen door middel van procesautomatisering. gericht op innovatieve toepassingen binnen de industrie.,Design Science Research
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. gericht op innovatieve toepassingen binnen de industrie.,Data Science
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Data Science
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Data Science
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Artificial Intelligence
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Artificial Intelligence
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Ethical Hacking
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. waarbij nadruk ligt op praktische toepasbaarheid.,Business Change and Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met een prototype als eindresultaat.,Data Science
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. en evaluatie van de resultaten door middel van casestudies.,Ethical Hacking
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. met een prototype als eindresultaat.,Data Visualisation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. waarbij nadruk ligt op praktische toepasbaarheid.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. en evaluatie van de resultaten door middel van casestudies.,Creative Digital Innovation
Verbetering van business change processen door middel van procesautomatisering. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Artificial Intelligence
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met een prototype als eindresultaat.,Data Science
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. en evaluatie van de resultaten door middel van casestudies.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. waarbij nadruk ligt op praktische toepasbaarheid.,Ethical Hacking
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Software Architecture
Verbetering van business change processen door middel van procesautomatisering. met een prototype als eindresultaat.,Creative Digital Innovation
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. inclusief aanbevelingen voor toekomstige verbeteringen.,Ethical Hacking
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. gericht op innovatieve toepassingen binnen de industrie.,Ethical Hacking
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Verbetering van business change processen door middel van procesautomatisering. en evaluatie van de resultaten door middel van casestudies.,Software Architecture
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. met focus op scalability en performance.,Ethical Hacking
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. en evaluatie van de resultaten door middel van casestudies.,Ethical Hacking
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. inclusief aanbevelingen voor toekomstige verbeteringen.,Creative Digital Innovation
Verbetering van business change processen door middel van procesautomatisering. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met focus op scalability en performance.,Artificial Intelligence
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. inclusief aanbevelingen voor toekomstige verbeteringen.,Creative Digital Innovation
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Data Visualisation
Verbetering van business change processen door middel van procesautomatisering. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met een prototype als eindresultaat.,Business Process Analytics
Analyse van bezoekersstromen door middel van data science technieken en machine learning. met een prototype als eindresultaat.,Ethical Hacking
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. gericht op innovatieve toepassingen binnen de industrie.,Creative Digital Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. en evaluatie van de resultaten door middel van casestudies.,Software Architecture
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met focus op scalability en performance.,Business Process Analytics
Analyse van bezoekersstromen door middel van data science technieken en machine learning. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Opzetten van een framework voor Software Architecture bij microservices. waarbij nadruk ligt op praktische toepasbaarheid.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. en evaluatie van de resultaten door middel van casestudies.,Artificial Intelligence
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Change and Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. gericht op innovatieve toepassingen binnen de industrie.,Software Architecture
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Artificial Intelligence
Analyse van bezoekersstromen door middel van data science technieken en machine learning. inclusief aanbevelingen voor toekomstige verbeteringen.,Data Visualisation
Opzetten van een framework voor Software Architecture bij microservices. met focus op scalability en performance.,Data Science
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Artificial Intelligence
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. gericht op innovatieve toepassingen binnen de industrie.,Artificial Intelligence
Opzetten van een framework voor Software Architecture bij microservices. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met een prototype als eindresultaat.,Ethical Hacking
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Data Science
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. waarbij nadruk ligt op praktische toepasbaarheid.,Creative Digital Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Process Analytics
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. met een prototype als eindresultaat.,Data Visualisation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Ethical Hacking
Verbetering van business change processen door middel van procesautomatisering. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. waarbij nadruk ligt op praktische toepasbaarheid.,Software Architecture
Analyse van bezoekersstromen door middel van data science technieken en machine learning. en evaluatie van de resultaten door middel van casestudies.,Artificial Intelligence
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Business Change and Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Software Architecture
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Process Analytics
Opzetten van een framework voor Software Architecture bij microservices. gericht op innovatieve toepassingen binnen de industrie.,Data Visualisation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. en evaluatie van de resultaten door middel van casestudies.,Data Visualisation
Verbetering van business change processen door middel van procesautomatisering. inclusief aanbevelingen voor toekomstige verbeteringen.,Software Architecture
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. met een prototype als eindresultaat.,Creative Digital Innovation
Proof of Concept voor ethische hacking van webapplicaties met nadruk op beveiligingslekken. met focus op scalability en performance.,Business Process Analytics
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met focus op scalability en performance.,Creative Digital Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Software Architecture
Opzetten van een framework voor Software Architecture bij microservices. waarbij nadruk ligt op praktische toepasbaarheid.,Design Science Research
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. waarbij nadruk ligt op praktische toepasbaarheid.,Software Architecture
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. met focus op scalability en performance.,Creative Digital Innovation
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Artificial Intelligence
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. met een prototype als eindresultaat.,Data Science
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. inclusief aanbevelingen voor toekomstige verbeteringen.,Business Change and Innovation
Opzetten van een framework voor Software Architecture bij microservices. met een prototype als eindresultaat.,Data Science
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Creëren van handvatten voor het opzetten van Digital Twins in de bouwsector. met een prototype als eindresultaat.,Creative Digital Innovation
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. gericht op innovatieve toepassingen binnen de industrie.,Ethical Hacking
Onderzoek naar de impact van AI bij besluitvorming in businessprocessen. gericht op innovatieve toepassingen binnen de industrie.,Data Science
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. inclusief aanbevelingen voor toekomstige verbeteringen.,Artificial Intelligence
Ontwikkeling van een Event Log App die data uit meerdere bronnen kan integreren en visualiseren. met een prototype als eindresultaat.,Data Visualisation
Ontwikkeling van een dashboard voor data visualisation van real-time sensorinformatie. waarbij nadruk ligt op praktische toepasbaarheid.,Business Process Analytics
Onderzoek naar veilige authenticatieprotocollen binnen IoT-omgevingen. en evaluatie van de resultaten door middel van casestudies.,Business Change and Innovation
Opzetten van een framework voor Software Architecture bij microservices. inclusief aanbevelingen voor toekomstige verbeteringen.,Design Science Research
